archivo,carpeta,estado,palabras,tiene_yaml,tipo_nota,tipo_valido,campos_ok_count,campos_faltantes_count,campos_faltantes,campos_alias,problemas
06_Sentinel\_Índice Sentinel.md,06_Sentinel,ERROR,317,True,indice,True,5,3,territorio | dimension_tgi | fuente_canonica,tipo→tipo_nota | name→nombre | etiquetas→tags | fecha_creacion→fecha,"Faltan 3 campos: territorio, dimension_tgi, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre, etiquetas→tags, fecha_creacion→fecha"
06_Sentinel\glosario\Glosario Institucional.md,06_Sentinel\glosario,ERROR,1100,True,referencia,False,5,3,territorio | dimension_tgi | fuente_canonica,tipo→tipo_nota | name→nombre | etiquetas→tags | fecha_creacion→fecha,"tipo_nota desconocido: 'referencia' | Faltan 3 campos: territorio, dimension_tgi, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre, etiquetas→tags, fecha_creacion→fecha"
07_Indicadores\_Índice Indicadores.md,07_Indicadores,ERROR,422,True,indice,True,5,3,territorio | dimension_tgi | fuente_canonica,tipo→tipo_nota | name→nombre | etiquetas→tags | fecha_creacion→fecha,"Faltan 3 campos: territorio, dimension_tgi, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre, etiquetas→tags, fecha_creacion→fecha"
07_TGI_Parroquias\_Índice_Parroquias.md,07_TGI_Parroquias,ERROR,462,True,indice-modulo,False,4,4,territorio | dimension_tgi | tags | estado,tipo→tipo_nota | name→nombre | fuente→fuente_canonica,"tipo_nota desconocido: 'indice-modulo' | Faltan 4 campos: territorio, dimension_tgi, tags, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, fuente→fuente_canonica"
07_TGI_Parroquias\P-01_Montecristi.md,07_TGI_Parroquias,ERROR,432,True,parroquia-tgi,True,3,5,territorio | dimension_tgi | tags | fecha | estado,tipo→tipo_nota | fuente→fuente_canonica,"Faltan 5 campos: territorio, dimension_tgi, tags, fecha, estado | Aliases no canónicos: tipo→tipo_nota, fuente→fuente_canonica"
07_TGI_Parroquias\P-02_Anibal_San_Andres.md,07_TGI_Parroquias,ERROR,441,True,parroquia-tgi,True,3,5,territorio | dimension_tgi | tags | fecha | estado,tipo→tipo_nota | fuente→fuente_canonica,"Faltan 5 campos: territorio, dimension_tgi, tags, fecha, estado | Aliases no canónicos: tipo→tipo_nota, fuente→fuente_canonica"
07_TGI_Parroquias\P-03_Colorado.md,07_TGI_Parroquias,ERROR,484,True,parroquia-tgi,True,3,5,territorio | dimension_tgi | tags | fecha | estado,tipo→tipo_nota | fuente→fuente_canonica,"Faltan 5 campos: territorio, dimension_tgi, tags, fecha, estado | Aliases no canónicos: tipo→tipo_nota, fuente→fuente_canonica"
07_TGI_Parroquias\P-04_Leonidas_Proano.md,07_TGI_Parroquias,ERROR,444,True,parroquia-tgi,True,3,5,territorio | dimension_tgi | tags | fecha | estado,tipo→tipo_nota | fuente→fuente_canonica,"Faltan 5 campos: territorio, dimension_tgi, tags, fecha, estado | Aliases no canónicos: tipo→tipo_nota, fuente→fuente_canonica"
07_TGI_Parroquias\P-05_Gral_Alfaro.md,07_TGI_Parroquias,ERROR,440,True,parroquia-tgi,True,3,5,territorio | dimension_tgi | tags | fecha | estado,tipo→tipo_nota | fuente→fuente_canonica,"Faltan 5 campos: territorio, dimension_tgi, tags, fecha, estado | Aliases no canónicos: tipo→tipo_nota, fuente→fuente_canonica"
07_TGI_Parroquias\P-06_Isabel_Muentes.md,07_TGI_Parroquias,ERROR,491,True,parroquia-tgi,True,3,5,territorio | dimension_tgi | tags | fecha | estado,tipo→tipo_nota | fuente→fuente_canonica,"Faltan 5 campos: territorio, dimension_tgi, tags, fecha, estado | Aliases no canónicos: tipo→tipo_nota, fuente→fuente_canonica"
07_TGI_Parroquias\P-07_La_Pila.md,07_TGI_Parroquias,ERROR,470,True,parroquia-tgi,True,3,5,territorio | dimension_tgi | tags | fecha | estado,tipo→tipo_nota | fuente→fuente_canonica,"Faltan 5 campos: territorio, dimension_tgi, tags, fecha, estado | Aliases no canónicos: tipo→tipo_nota, fuente→fuente_canonica"
07_TGI_Parroquias\TGI_Cantonal.md,07_TGI_Parroquias,ERROR,683,True,dashboard-cantonal,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | fuente→fuente_canonica,"tipo_nota desconocido: 'dashboard-cantonal' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, fuente→fuente_canonica"
08_EJECUCION\_Índice_Ejecucion.md,08_EJECUCION,WARN,469,True,indice-modulo,False,6,2,territorio | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'indice-modulo' | Faltan: territorio, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
08_EJECUCION\FUENTES_Holding_Operativa.md,08_EJECUCION,WARN,989,True,registro-fuentes,False,6,2,territorio | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'registro-fuentes' | Faltan: territorio, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
08_EJECUCION\ICM_SIGAD_2023_2024.md,08_EJECUCION,WARN,828,True,icm-sigad,False,6,2,territorio | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'icm-sigad' | Faltan: territorio, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
08_EJECUCION\ORGANICO_040_2025.md,08_EJECUCION,WARN,1200,True,normativa-interna,False,6,2,territorio | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'normativa-interna' | Faltan: territorio, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
08_EJECUCION\PAC_2026_Contexto.md,08_EJECUCION,WARN,642,True,contexto-operativo,False,6,2,territorio | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'contexto-operativo' | Faltan: territorio, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
08_EJECUCION\Plan_CNE_Alcalde_Montecristi.md,08_EJECUCION,WARN,1601,True,plan-trabajo-cne,False,6,2,territorio | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'plan-trabajo-cne' | Faltan: territorio, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
08_EJECUCION\POA_2026_Contexto.md,08_EJECUCION,WARN,566,True,contexto-operativo,False,6,2,territorio | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'contexto-operativo' | Faltan: territorio, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
08_EJECUCION\RDC_Holding_2023_2024.md,08_EJECUCION,WARN,552,True,rendicion-cuentas,False,6,2,territorio | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'rendicion-cuentas' | Faltan: territorio, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
08_EJECUCION\TRAYECTORIA_2023_2026.md,08_EJECUCION,WARN,1279,True,trayectoria-historica,False,6,2,territorio | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'trayectoria-historica' | Faltan: territorio, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
08_Plantillas\Plantilla-Caso.md,08_Plantillas,ERROR,232,True,plantilla,True,5,3,territorio | dimension_tgi | fuente_canonica,tipo→tipo_nota | name→nombre | etiquetas→tags | fecha_creacion→fecha,"Faltan 3 campos: territorio, dimension_tgi, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre, etiquetas→tags, fecha_creacion→fecha"
08_Plantillas\Plantilla-Indicador.md,08_Plantillas,ERROR,233,True,plantilla,True,5,3,territorio | dimension_tgi | fuente_canonica,tipo→tipo_nota | name→nombre | etiquetas→tags | fecha_creacion→fecha,"Faltan 3 campos: territorio, dimension_tgi, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre, etiquetas→tags, fecha_creacion→fecha"
08_Plantillas\Plantilla-Meta.md,08_Plantillas,ERROR,190,True,plantilla,True,5,3,territorio | dimension_tgi | fuente_canonica,tipo→tipo_nota | name→nombre | etiquetas→tags | fecha_creacion→fecha,"Faltan 3 campos: territorio, dimension_tgi, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre, etiquetas→tags, fecha_creacion→fecha"
